index,wass_dist
1171.0,8.000317039
1173.0,1.931237238
1174.0,0.810549237
1175.0,3.412346803
1176.0,7.640219985
1177.0,1.629010734
1178.0,1.298212493
1179.0,11.10961981
1180.0,1.526314581
1181.0,0.833048239
1182.0,12.43930952
1183.0,2.336886641
1184.0,2.037464391
1185.0,0.851407132
1186.0,2.171648714
1187.0,0.616684921
1188.0,3.633253369
1189.0,1.72305067
1190.0,0.680516255
1191.0,0.777367219
1192.0,0.801670352
1194.0,0.137594257
1195.0,0.477166405
1196.0,1.916328367
1197.0,0.267121584
1198.0,0.897048806
1199.0,0.557066043
1200.0,0.60652413
1201.0,13.50555493
1202.0,0.415931315
1205.0,1.657223584
1206.0,11.79615677
1208.0,3.322104946
1209.0,0.839894219
1210.0,0.473353285
1211.0,1.166719913
1212.0,2.960103003
1213.0,10.00289595
1214.0,4.805334232
1215.0,12.66174609
1216.0,0.570316313
1217.0,1.460648682
1219.0,0.329436566
1220.0,2.200604438
1221.0,4.574298321
1222.0,3.565249368
1223.0,3.663900969
1224.0,6.724024445
1226.0,2.200207834
1228.0,0.27130004
1229.0,0.708113691
1230.0,0.649198382
1231.0,2.923072001
1232.0,13.54583645
1233.0,2.276213169
1234.0,0.417949376
1235.0,0.968460629
1236.0,3.713554697
1237.0,1.682538149
1238.0,0.19734858
1239.0,5.254807838
1240.0,1.929868276
1241.0,1.070047761
1242.0,1.18035485
1243.0,0.446760273
1244.0,2.486886427
1245.0,5.450773342
1246.0,1.805276543
1247.0,3.759069277
1248.0,7.881143086
1249.0,11.58154503
1250.0,0.532773045
1251.0,0.57215528
1252.0,0.775341169
1253.0,0.500789887
1254.0,0.885074568
1255.0,1.439182841
1256.0,7.622515599
1257.0,0.356068739
1258.0,3.776213974
1259.0,0.835756578
1260.0,1.639122155
1261.0,0.870089032
1262.0,1.059026264
1263.0,1.459476871
1264.0,1.632795799
1265.0,2.797005099
1266.0,1.325880785
1267.0,3.321858751
1268.0,12.25630195
1269.0,4.593219609
1270.0,1.39897034
1271.0,0.518280236
1272.0,1.553827136
1273.0,4.826526518
1275.0,1.532555601
1277.0,2.842726056
1278.0,0.967677165
